Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2024-05-03 11:25:12,True,Hangzhou Running,10.01,661,00:42:55,157,175,3.8,174,180,4:17,3:41,38,34,1.34,7.3,9.8,238,4:16,371,0.0,367,514,"7,436",No,00:00:01.3,11,00:42:45,00:42:55,6,17
Running,2024-05-01 08:19:56,True,Hangzhou Running,10.01,664,00:44:29,154,169,3.6,173,180,4:27,4:07,51,50,1.3,7.5,9.7,243,4:24,360,0.0,355,477,"7,664",No,00:00:02.4,11,00:44:26,00:44:29,3,14
Running,2024-04-28 14:26:49,True,Hangzhou Running,10.01,635,00:47:06,139,154,3.0,169,198,4:42,3:52,23,21,1.26,7.7,9.7,249,4:41,333,0.0,332,424,"8,024",No,00:00:01.0,11,00:46:54,01:21:00,5,13
Running,2024-04-26 14:51:35,True,Hangzhou Running,10.01,664,00:43:47,155,167,3.7,174,184,4:22,3:45,49,48,1.31,7.3,9.6,239,4:21,364,0.0,359,491,"7,630",No,00:00:01.9,11,00:43:40,00:43:47,-22,-12
Running,2024-04-25 11:16:37,True,Hangzhou Running,10.01,635,00:44:08,148,164,3.4,173,181,4:25,4:08,55,51,1.31,7.5,9.7,242,4:23,365,0.0,359,486,"7,606",No,00:00:01.7,11,00:44:06,00:45:31,4,16
Running,2024-04-23 16:15:14,True,Hangzhou Running,10.01,645,00:44:05,153,165,3.5,172,196,4:24,4:03,12,14,1.32,7.4,9.8,242,4:24,356,0.0,354,409,"7,588",No,00:00:02.1,11,00:43:54,00:46:05,3,8
Running,2024-04-22 18:38:11,True,Hangzhou Running,10.01,644,00:46:15,144,161,3.3,169,183,4:37,4:11,47,49,1.27,7.7,9.8,250,4:35,347,0.0,342,464,"7,866",No,00:00:01.9,11,00:46:11,00:48:09,2,14
Running,2024-04-21 19:01:25,True,Hangzhou Running,3.89,236,00:18:31,133,147,2.2,168,175,4:45,3:55,16,17,1.26,7.9,10.0,256,4:41,341,0.0,337,443,"3,104",No,00:04:15.2,4,00:18:30,00:18:31,3,13
Running,2024-04-19 17:12:27,True,Hangzhou Running,10.01,631,00:44:23,147,164,3.4,172,179,4:26,3:55,49,45,1.32,7.5,9.9,243,4:23,364,0.0,357,480,"7,604",No,00:00:02.7,11,00:43:58,00:44:23,6,17
Running,2024-04-18 20:36:19,True,Hangzhou Running,10.01,626,00:43:48,148,161,3.3,171,181,4:23,3:50,47,47,1.34,7.5,10.0,244,4:21,368,0.0,363,504,"7,456",No,00:00:02.0,11,00:43:43,00:43:48,3,13
Running,2024-04-16 16:22:47,True,Hangzhou Running,10.01,673,00:44:52,159,172,3.5,170,180,4:29,3:53,22,24,1.31,7.6,9.9,245,4:28,352,0.0,351,435,"7,640",No,00:00:01.6,11,00:44:46,00:59:33,-6,4
Running,2024-04-15 17:35:41,True,Hangzhou Running,15.01,"1,024",01:05:48,164,182,4.6,171,181,4:23,3:35,68,61,1.34,7.5,10.0,244,4:20,367,0.0,361,481,"11,208",No,00:00:02.0,16,01:05:31,01:05:48,3,17
Running,2024-10-06 15:56:25,True,Hangzhou Running,10.01,625,00:43:06,156,171,3.7,173,179,4:18,2:55,38,38,1.36,7.3,9.9,239,4:15,374,0.0,370,520,"7,402",No,00:00:02.1,11,00:43:03,00:43:06,12,34
Running,2024-10-05 19:47:42,True,Hangzhou Running,10.0,658,00:46:23,152,170,3.5,171,179,4:38,2:58,41,33,1.30,7.6,9.9,246,4:28,355,0.0,351,511,"7,920",No,00:04:00.1,10,00:46:20,01:05:45,-1,25
Running,2024-10-03 11:06:40,True,Hangzhou Running,15.01,952,01:04:34,160,178,4.1,177,192,4:18,2:49,36,29,1.33,7.1,9.4,232,4:12,370,0.0,369,544,"11,428",No,00:00:02.1,16,01:04:26,01:18:07,13,38
Running,2024-10-02 11:16:18,True,Hangzhou Running,10.01,640,00:44:12,157,179,3.4,176,186,4:25,2:51,47,49,1.31,7.2,9.5,236,4:19,364,0.0,361,534,"7,754",No,00:00:01.7,11,00:44:07,01:02:11,12,39
Running,2024-10-01 09:25:49,True,Hangzhou Running,10.01,665,00:44:48,164,182,4.1,174,183,4:29,3:02,52,43,1.30,7.4,9.6,241,4:24,362,0.0,357,503,"7,800",No,00:00:00.9,11,00:44:39,00:44:48,8,31
Running,2024-09-29 10:08:19,True,Hangzhou Running,10.0,644,00:44:16,162,176,3.7,173,184,4:25,3:20,35,24,1.31,7.4,9.7,242,4:24,358,0.0,355,487,"7,650",No,00:00:00.8,11,00:44:10,01:01:51,10,33
Running,2024-09-28 18:06:57,True,Hangzhou Running,10.0,621,00:42:33,159,180,4.0,173,183,4:15,2:50,31,36,1.38,7.3,9.9,237,4:07,375,0.0,370,539,"7,334",No,00:00:01.2,11,00:42:32,00:42:33,16,35
