Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GAP,Normalized Power® (NP®),Training Stress Score®,Avg Power,Max Power,Steps,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,10/12/2024 16:19,TRUE,Hangzhou Running,15.01,939,1:02:31,158,181,4.1,176,194,4:10,2:44,25,18,1.37,7,9.6,231,4:06,381,0,377,545,"10,982",No,00:02.1,16,1:02:27,1:15:33,15,36
Running,10/11/2024 11:25,TRUE,Hangzhou Running,10.01,620,0:45:20,145,155,3.2,173,181,4:32,3:48,17,7,1.27,7.5,9.5,243,4:31,345,0,344,455,"7,834",No,00:01.1,11,0:45:09,1:03:27,18,28
Running,10/10/2024 11:20,TRUE,Hangzhou Running,15.02,955,1:06:46,153,173,3.9,174,183,4:27,3:11,29,15,1.31,7.3,9.6,238,4:21,360,0,358,494,"11,640",No,00:02.3,16,1:06:36,1:25:26,18,42
Running,10/7/2024 19:41,TRUE,Hangzhou Running,10,635,0:47:21,143,156,3.2,169,176,4:44,3:24,40,28,1.29,7.8,10,251,4:35,343,0,340,454,"7,980",No,00:01.8,11,0:47:19,1:09:50,5,29
Running,9/8/2024 18:49,TRUE,Hangzhou Running,10.01,626,0:46:16,154,169,3.8,171,186,4:37,3:22,8,30,1.26,7.6,9.6,247,4:37,336,0,335,454,"7,936",No,00:01.8,11,0:46:10,0:59:25,17,39
Running,9/5/2024 21:39,TRUE,Hangzhou Running,10.01,684,0:47:51,165,181,4.3,172,181,4:47,2:59,33,34,1.29,7.6,9.7,246,4:30,352,0,348,516,"8,204",No,00:01.7,11,0:47:48,0:47:51,18,34
Running,9/3/2024 19:44,TRUE,Hangzhou Running,10.01,635,0:46:11,158,172,3.9,171,184,4:37,4:02,9,13,1.27,7.6,9.6,247,4:36,338,0,337,421,"7,918",No,00:01.5,11,0:45:59,1:01:10,15,39
Running,9/2/2024 18:56,TRUE,Hangzhou Running,10.01,637,0:46:29,158,170,4,168,200,4:39,3:10,8,15,1.26,7.7,9.7,249,4:39,340,0,336,504,"7,912",No,00:01.3,11,0:46:21,0:59:01,26,48
Running,8/31/2024 18:03,TRUE,Hangzhou Running,10,653,0:46:32,163,183,3.8,170,184,4:39,3:27,31,21,1.28,7.5,9.6,244,4:35,344,0,334,550,"7,930",No,04:19.7,10,0:45:41,1:01:31,12,30
Running,8/29/2024 19:49,TRUE,Running,10,700,0:48:39,166,185,4.4,170,180,4:52,3:14,35,38,1.27,7.7,9.8,249,4:34,343,0,337,490,"8,284",No,00:00.7,11,0:48:32,0:48:54,9,28
Running,8/25/2024 8:54,TRUE,Running,5.01,345,0:24:24,164,180,3.3,170,176,4:52,4:19,21,22,1.21,8,9.6,254,4:48,319,0,315,380,"4,148",No,00:01.4,6,0:24:23,0:24:24,8,27
Running,8/24/2024 17:54,TRUE,Hangzhou Running,10.01,630,0:44:41,159,179,3.9,172,187,4:28,3:44,8,16,1.3,7.5,9.7,242,4:27,351,0,349,451,"7,692",No,00:01.6,11,0:44:35,0:56:28,13,35
Running,8/23/2024 18:15,TRUE,Running,10.01,621,0:45:30,152,170,3.7,172,187,4:33,1:44,33,34,1.36,7.3,9.8,240,4:14,378,0,368,955,"7,842",No,00:01.9,11,0:45:28,0:52:27,17,35
Running,8/21/2024 19:02,TRUE,Running,10.01,661,0:48:18,157,174,3.8,171,186,4:50,2:58,26,20,1.25,7.8,9.7,250,4:40,341,0,335,526,"8,242",No,00:01.4,11,0:48:16,1:01:10,18,38
Running,8/18/2024 19:53,TRUE,Hangzhou Running,10.01,657,0:46:37,163,178,3.8,171,177,4:39,3:32,15,19,1.25,7.8,9.7,250,4:41,333,0,331,469,"7,962",No,00:02.3,11,0:46:28,1:06:51,16,33
